2017-06-15 00:05:13 [main] INFO  test.bibik.project1.entity.TestTriangle - Let's give it a try!
2017-06-15 00:05:13 [main] WARN  test.bibik.project1.entity.TestTriangle - Points lie on streight line! Triangle cannot be created
2017-06-15 00:07:27 [main] INFO  test.bibik.project1.entity.TestTriangle - LET'S GIVE IT ANOTHER TRY!
2017-06-15 00:07:27 [main] WARN  test.bibik.project1.entity.TestTriangle - Points lie on streight line! Triangle cannot be created.
2017-06-15 00:07:52 [main] INFO  test.bibik.project1.entity.TestTriangle - LET'S GIVE IT ANOTHER TRY!
2017-06-15 00:07:52 [main] INFO  test.bibik.project1.entity.TestTriangle - New triangle has been created. PointA Point [x=2, y=2] PointB Point [x=3, y=3] PointC Point [x=4, y=5]
2017-06-15 00:08:54 [main] INFO  test.bibik.project1.entity.TestTriangle - LET'S GIVE IT ANOTHER TRY!
2017-06-15 00:08:54 [main] INFO  test.bibik.project1.entity.TestTriangle - New triangle has been created. PointA [2:2] PointB [3:3] PointC [4:5]
2017-06-15 00:12:10 [main] INFO  test.bibik.project1.entity.TestTriangle - LET'S GIVE IT ANOTHER TRY!
2017-06-15 00:12:10 [main] INFO  test.bibik.project1.entity.TestTriangle - New triangle has been created. PointA [2:2], PointB [3:3], PointC [4:5]
2017-06-15 00:13:03 [main] INFO  test.bibik.project1.entity.TestTriangle - LET'S GIVE IT ANOTHER TRY!
2017-06-15 00:13:03 [main] INFO  test.bibik.project1.entity.TestTriangle - New triangle has been created. Triangle: PointA [2:2], PointB [3:3], PointC [4:5]
2017-06-15 00:21:55 [main] INFO  test.bibik.project1.entity.TestTriangle - LET'S GIVE IT ANOTHER TRY!
2017-06-15 00:21:55 [main] INFO  test.bibik.project1.entity.TestTriangle - New triangle has been created. Triangle: PointA [2:2], PointB [3:3], PointC [4:5]
2017-06-15 00:22:55 [main] INFO  test.bibik.project1.entity.TestTriangle - LET'S GIVE IT ANOTHER TRY!
2017-06-15 00:22:55 [main] INFO  test.bibik.project1.entity.TestTriangle - New triangle has been created. Triangle: PointA [2:2], PointB [3:3], PointC [4:5]
